Elapsed Time (ms),Coarse Encoder Counts (6B),Coarse Degree
13847,E7F467,-109.12970914127425
13848,E7F5B9,-109.10630193905817
13849,E7F70B,-109.0828947368421
13850,E7F906,-109.047783933518
13851,E7FA58,-109.02437673130194
13852,E7FBAA,-109.00096952908586
13853,E7FDA5,-108.96585872576178
13854,E7FEF7,-108.9424515235457
13855,E80049,-108.91904432132965
13856,E80244,-108.88393351800555
13857,E80396,-108.86052631578947
13858,E80591,-108.82541551246538
13859,E806E3,-108.8020083102493
13860,E80835,-108.77860110803324
13861,E80A30,-108.74349030470914
13862,E80B82,-108.72008310249308
13863,E80D7D,-108.68497229916898
13864,E80ECF,-108.6615650969529
13865,E81021,-108.63815789473685
13866,E8121C,-108.60304709141273
13867,E8136E,-108.57963988919668
13868,E814C0,-108.55623268698061
13869,E816BB,-108.52112188365652
13870,E8180D,-108.49771468144044
13871,E81A08,-108.46260387811634
13872,E81B5A,-108.43919667590028
13873,E81CAC,-108.4157894736842
13874,E81EA7,-108.38067867036011
13875,E81FF9,-108.35727146814403
13876,E8214B,-108.33386426592799
13877,E82346,-108.29875346260388
13878,E82498,-108.27534626038782
13879,E82693,-108.24023545706372
13880,E827E5,-108.21682825484764
13881,E82937,-108.19342105263158
13882,E82B32,-108.15831024930748
13883,E82C84,-108.13490304709141
13884,E82E7F,-108.09979224376731
13885,E82FD1,-108.07638504155123
13886,E83123,-108.05297783933518
13887,E8331E,-108.01786703601107
13888,E83470,-107.99445983379502
13889,E8366B,-107.95934903047092
13890,E837BD,-107.93594182825485
13891,E839B8,-107.90083102493075
13892,E83B0A,-107.87742382271468
13893,E83C5C,-107.85401662049861
13894,E83E57,-107.81890581717451
13895,E83FA9,-107.79549861495845
13896,E841A4,-107.76038781163435
13897,E842F6,-107.7369806094183
13898,E844F1,-107.70186980609418
13899,E84643,-107.6784626038781
13900,E8483E,-107.64335180055403
13901,E84990,-107.61994459833795
13902,E84AE2,-107.59653739612189
13903,E84CDD,-107.56142659279779
13904,E84E2F,-107.53801939058172
13905,E8502A,-107.50290858725762
13906,E8517C,-107.47950138504154
13907,E85377,-107.44439058171746
13908,E854C9,-107.42098337950138
13909,E856C4,-107.38587257617728
13910,E85816,-107.36246537396121
13911,E85A11,-107.32735457063711
13912,E85B63,-107.30394736842106
13913,E85D5E,-107.26883656509695
13914,E85EB0,-107.2454293628809
13915,E860AB,-107.2103185595568
13916,E861FD,-107.18691135734072
13917,E863F8,-107.15180055401663
13918,E8654A,-107.12839335180055
13919,E86745,-107.09328254847645
13920,E86940,-107.05817174515236
13921,E86A92,-107.03476454293629
13922,E86C8D,-106.9996537396122
13923,E86DDF,-106.97624653739612
13924,E86FDA,-106.94113573407202
13925,E8712C,-106.91772853185596
13926,E87327,-106.88261772853186
13927,E87522,-106.84750692520775
13928,E87674,-106.82409972299169
13929,E8786F,-106.78898891966759
13930,E879C1,-106.76558171745152
13931,E87BBC,-106.73047091412742
13932,E87D0E,-106.70706371191136
13933,E87F09,-106.67195290858726
13934,E88104,-106.63684210526316
13935,E88256,-106.6134349030471
13936,E88451,-106.57832409972299
13937,E885A3,-106.55491689750693
13938,E8879E,-106.51980609418283
13939,E888F0,-106.49639889196675
13940,E88AEB,-106.46128808864266
13941,E88CE6,-106.42617728531856
13942,E88E38,-106.40277008310248
13943,E89033,-106.3676592797784
13944,E89185,-106.34425207756232
13945,E89380,-106.30914127423824
13946,E894D2,-106.28573407202217
13947,E896CD,-106.25062326869805
13948,E898C8,-106.21551246537396
13949,E89A1A,-106.1921052631579
13950,E89C15,-106.15699445983378
13951,E89E10,-106.1218836565097
13952,E89F62,-106.09847645429362
13953,E8A15D,-106.06336565096954
13954,E8A2AF,-106.03995844875347
13955,E8A4AA,-106.00484764542935
13956,E8A6A5,-105.96973684210528
13957,E8A7F7,-105.9463296398892
13958,E8A9F2,-105.91121883656508
13959,E8ABED,-105.876108033241
13960,E8AD3F,-105.85270083102493
13961,E8AF3A,-105.81759002770085
13962,E8B135,-105.78247922437673
13963,E8B287,-105.75907202216065
13964,E8B482,-105.72396121883658
13965,E8B67D,-105.68885041551246
13966,E8B7CF,-105.66544321329638
13967,E8B9CA,-105.63033240997231
13968,E8BBC5,-105.5952216066482
13969,E8BD17,-105.57181440443215
13970,E8BF12,-105.53670360110803
13971,E8C10D,-105.50159279778393
13972,E8C25F,-105.47818559556788
13973,E8C45A,-105.44307479224376
13974,E8C655,-105.40796398891966
13975,E8C7A7,-105.38455678670361
13976,E8C9A2,-105.3494459833795
13977,E8CB9D,-105.3143351800554
13978,E8CCEF,-105.29092797783935
13979,E8CEEA,-105.25581717451523
13980,E8D03C,-105.23240997229918
13981,E8D237,-105.19729916897506
13982,E8D432,-105.16218836565096
13983,E8D584,-105.13878116343491
13984,E8D77F,-105.1036703601108
13985,E8D97A,-105.0685595567867
13986,E8DACC,-105.04515235457065
13987,E8DCC7,-105.01004155124653
13988,E8DEC2,-104.97493074792243
13989,E8E0BD,-104.93981994459834
13990,E8E20F,-104.91641274238226
13991,E8E40A,-104.88130193905816
13992,E8E55C,-104.8578947368421
13993,E8E757,-104.822783933518
13994,E8E952,-104.78767313019391
13995,E8EAA4,-104.76426592797783
13996,E8EC9F,-104.72915512465373
13997,E8EE9A,-104.69404432132964
13998,E8F095,-104.65893351800554
13999,E8F1E7,-104.63552631578946
14000,E8F3E2,-104.60041551246537
14001,E8F534,-104.5770083102493
14002,E8F72F,-104.54189750692521
14003,E8F92A,-104.50678670360111
14004,E8FA7C,-104.48337950138503
14005,E8FC77,-104.44826869806094
14006,E8FE72,-104.41315789473684
14007,E8FFC4,-104.38975069252076
14008,E901BF,-104.35463988919668
14008,E903BA,-104.31952908587257
14010,E9050C,-104.29612188365653
14011,E90707,-104.26101108033241
14012,E90902,-104.22590027700831
14013,E90AFD,-104.1907894736842
14014,E90C4F,-104.16738227146814
14015,E90E4A,-104.13227146814404
14016,E90F9C,-104.10886426592798
14017,E91197,-104.07375346260388
14018,E91392,-104.03864265927977
14019,E9158D,-104.00353185595569
14019,E916DF,-103.98012465373961
14021,E918DA,-103.9450138504155
14022,E91A2C,-103.92160664819944
14023,E91C27,-103.88649584487534
14024,E91E22,-103.85138504155125
14025,E9201D,-103.81627423822715
14026,E9216F,-103.79286703601107
14027,E9236A,-103.75775623268699
14028,E92565,-103.72264542936288
14029,E926B7,-103.69923822714681
14030,E928B2,-103.66412742382272
14031,E92A04,-103.64072022160664
14032,E92BFF,-103.60560941828255
14033,E92DFA,-103.57049861495845
14034,E92F4C,-103.54709141274238
14035,E93147,-103.51198060941829
14035,E93342,-103.47686980609419
14037,E93494,-103.45346260387811
14038,E9368F,-103.41835180055402
14039,E9388A,-103.38324099722992
14040,E939DC,-103.35983379501386
14040,E93BD7,-103.32472299168975
14042,E93DD2,-103.28961218836565
14043,E93F24,-103.26620498614959
14044,E9411F,-103.23109418282549
14045,E9431A,-103.19598337950139
14046,E94515,-103.16087257617727
14047,E94667,-103.13746537396122
14048,E94862,-103.10235457063712
14049,E949B4,-103.07894736842105
14050,E94BAF,-103.04383656509695
14051,E94DAA,-103.00872576177285
14052,E94EFC,-102.98531855955679
14052,E950F7,-102.95020775623269
14053,E952F2,-102.91509695290858
14054,E95444,-102.89168975069252
14056,E9563F,-102.85657894736842
14057,E9583A,-102.82146814404433
14058,E9598C,-102.79806094182825
14059,E95B87,-102.76295013850415
14060,E95D82,-102.72783933518006
14061,E95F7D,-102.69272853185596
14062,E960CF,-102.66932132963989
14063,E962CA,-102.6342105263158
14064,E9641C,-102.61080332409972
14065,E96617,-102.57569252077563
14065,E96812,-102.54058171745153
14067,E96A0D,-102.50547091412741
14068,E96B5F,-102.48206371191137
14068,E96D5A,-102.44695290858726
14070,E96F55,-102.41184210526315
14070,E970A7,-102.3884349030471
14071,E972A2,-102.353324099723
14073,E9749D,-102.31821329639888
14074,E975EF,-102.29480609418283
